"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"018592021","Monograph","Language material ; Text","Volume","GBB7L2106","","9781849352901","Williams, Kristian","","person","author","Williams, Kristian, author [person]","Between the bullet and the lie : essays on Orwell","","","","United States of America","Chico, California","AK Press","2017","","271 pages, 22 cm","823.912","YC.2018.a.14431","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"018609519","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB7L6873","","9781473559073","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Orwell on truth","Works. Selections","","","England","London","Vintage Digital","2017","","1 online resource","828.91208","ELD.DS.230444","Truth ; Orwell, George, 1903-1950","","English","Additional physical form: Print version. 9781787300521",""
"018613203","Monograph","Language material ; Text","Volume","","","9781863959377","Glover, Dennis","","person","author","Glover, Dennis, author [person]","The last man in Europe : a novel","","","","Australia","Carlton, Victoria","Black","2017","","292 pages, 24 cm","823.92","YD.2019.a.3446","Last years of a person's life ; Fiction--Authorship ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Last years--Fiction ; Orwell, George, 1903-1950--Fiction ; Nineteen eighty-four (Orwell, George)","Biographical fiction ; Fiction ; Historical fiction","English","",""
"018634448","Monograph","Language material ; Text","Volume","GBB7N1105","","9780241339565","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Notes on nationalism","","Penguin modern classics","","England","London","Penguin","2018","","1 volume, 17 cm","320.54","","Nationalism","","English","",""
"018636809","Monograph","Language material ; Text","Volume","GBB7N3466","","9781784874155","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Nineteen eighty-four","1984","","","England","London","Vintage","2018","","325 pages, 23 cm","823.912","Nov.2018/2297","","Humour or satire","English","Originally published: London : Martin Secker & Warburg, 1949",""
"018637974","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB7N4629","","9780241315699","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","The lion and the unicorn : socialism and the English genius","","Penguin modern classics","","England","London","Penguin","2018","","1 online resource","335.00941","ELD.DS.236797","Socialism--Great Britain","","English","Additional physical form: Print version. 9780241315682",""
"018640216","Monograph","Language material ; Text","Online resource","","","9781292239927","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Level 4: 1984","","Pearson English Graded Readers","","England ; United Kingdom","Harlow","Pearson","2017","2nd","1 online resource (88 pages)","","ELD.DS.233370","","","English","",""
"018646581","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBB7O2382","","9780715652381","Ricks, Thomas E.","","person","author","Ricks, Thomas E., author [person]","Churchill and Orwell : the fight for freedom","","","","England","London","Gerald Duckworth","2017","","1 online resource, black and white illustrations","941.0840922","","Prime ministers--Great Britain--Biography ; Orwell, George, 1903-1950--Political and social views ; Communism--History--20th century ; World politics--1933-1945 ; Churchill, Winston, 1874-1965 ; Great Britain--Politics and government--1936-1945 ; Authors, English--20th century--Biography ; Churchill, Winston, 1874-1965--Political and social views ; Fascism--History--20th century","Biography","English","Additional physical form: Print version. 9781594206139",""
"018657037","Monograph","Language material ; Still image ; Text","Volume","GBB8G0488","","","Orwell, George","1903-1950","person","author","Davison, Peter, 1926- [person] ; Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, compiler ; editor [person]","A life in letter and diaries","Complete works of George Orwell ; Lost Orwell ; Works. Selections","","","England","London","Folio Society","2017","Folio Society edition","xv, 487 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 25 cm","823.912","YKL.2018.a.16650","Orwell, George, 1903-1950--Correspondence ; Orwell, George, 1903-1950--Diaries","Correspondence ; Diary","English","'The contents of this edition have been selected from the Complete works of George Orwell and its supplementary volume The lost Orwell, edited by Peter Davison, published in Britain in 1998 and in 2006 by Secker & Warburg'--Title page verso ; In slip case ; edition statement from page xv",""
"018665682","Monograph","Language material ; Text","Volume","GBB800913","","9780745399287","Newsinger, John","1948-","person","author","Newsinger, John, 1948-, author [person]","Hope lies in the proles : George Orwell and the left","","","","England","London","PlutoPress","2018","","1 volume","823.912","","Great Britain--Politics and government--1901-1936 ; Great Britain--Politics and government--1936- ; Socialism--Great Britain--History--20th century ; Orwell, George, 1903-1950--Political and social views","","English","Additional physical form: ebook version. 9781786802194",""
"018675774","Monograph","Language material ; Text","Online resource","","","9781292231280","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Level 6: Animal Farm","","Pearson English Graded Readers","","England ; United Kingdom","Harlow","Pearson","2018","1st","1 online resource (144 pages)","","ELD.DS.246887","","","English","",""
"018686145","Monograph","Language material ; Text","Volume","","","9785938986428","Karp, Marii︠a︡","","person","author","Karp, Marii︠a︡, author [person]","Dzhordzh Oruėll : biografii︠a︡","Джордж Оруэлл : биография","Zhizneopisanii︠a︡","","Russia","Saint Petersburg ; Санкт-Петербург","Vita Nova ; Вита Нова","2017","","603 pages, black and white illustrations, portraits (black and white), 24 cm","","YF.2018.a.4359","Authors, English--20th century--Biography ; English literature--20th century--History and criticism ; Orwell, George, 1903-1950","Biography","Russian","",""
"018691418","Serial","Language material ; Text","Volume","","","","","","","","Orwell Society [organisation]","Newsletter","Newsletter (Orwell Society) ; O.S. newsletter ; The Orwell Society newsletter","","","England","Chichester, West Sussex","Orwell Society","2012-2014","","5 volumes, illustrations (black and white and colour), 21-23 cm","828.91209","ZC.9.a.9665","Orwell, George, 1903-1950--Appreciation--Periodicals ; Orwell, George, 1903-1950--Political and social views--Periodicals ; Orwell, George, 1903-1950--Criticism and interpretation--Periodicals ; Orwell, George, 1903-1950--Periodicals ; Orwell Society--Periodicals","Periodical","English","Continued by: Journal (Orwell Society) ; Place of publication change: Catherine-de-Barnes, Solihull, 2014",""
"018691419","Serial","Language material ; Text","Volume","GBB814486","","","","","","","Orwell Society [organisation]","Journal","Journal (Orwell Society) ; The Orwell Society journal","","","England","Catherine-de-Barnes, Solihull","Orwell Society","2015-","","illustrations (black and white and colour), 21 cm","828.91209","ZC.9.a.9665","Orwell, George, 1903-1950--Appreciation--Periodicals ; Orwell, George, 1903-1950--Political and social views--Periodicals ; Orwell, George, 1903-1950--Criticism and interpretation--Periodicals ; Orwell, George, 1903-1950--Periodicals ; Orwell Society--Periodicals","Periodical","English","Continues: Newsletter (Orwell Society) ; Designation changes from months to seasons, summer 2017-)",""
"018693337","Monograph","Language material ; Text","Volume","GBB817861","","9781472414779","Crook, Tim","1959-","person","author","Crook, Tim, 1959-, author [person]","George Orwell on the radio : his works in sound drama and documentary","","","","England","London","Routledge","2018","","1 volume, 24 cm","823.912","","Orwell, George, 1903-1950--Audio adaptations","","English","",""
"018718453","Monograph","Language material ; Still image ; Text","Volume","GBB823715","","9781988440170","Gupta, Ashis","","person","author","Orwell, George, 1903-1950 [person] ; Gupta, Ashis, author [person]","Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel","Animal farm","","","Canada","Calgary","Bayeux Arts","2018","","1 volume, colour illustrations, 21 cm","813.6","","","","English","",""
"018727071","Monograph","Language material ; Text","Online resource","","","9780241339572","Orwell, George","","person","author","Orwell, George, author [person]","Notes on Nationalism","","Penguin Modern","","England ; United Kingdom","London","Penguin","2018","","1 online resource (64 pages)","","ELD.DS.260934","SOCIAL SCIENCE / Sociology / General ; Political Science & Theory ; POLITICAL SCIENCE / History & Theory ; Social, Group Or Collective Psychology ; PSYCHOLOGY / Social Psychology","","English","",""
"018727471","Monograph","Language material ; Text","Online resource","GBB833496","","9781783195602","Icke, Robert","","person","author","Orwell, George, 1903-1950 [person] ; Macmillan, Duncan, author [person] ; Icke, Robert, author [person]","1984","Nineteen eighty-four","Oberon modern plays","","England","London","Oberon","2014","","1 online resource","822.92","ELD.DS.261334","Dystopian plays ; Totalitarianism ; Totalitarianism--Drama ; DRAMA--English, Irish, Scottish, Welsh","Drama","English","Originally published in 2013; reprinted in 2014",""
"018767172","Monograph","Language material ; Text","Volume","GBB842603","","9781138499904","Ostrom, Hans A.","","person","author","Haltom, William, author [person] ; Ostrom, Hans A., author [person]","Orwell's 'politics and the English language' in the age of pseudocracy","","Routledge studies in rhetoric and communication","","England","London","Routledge","2018","","1 volume, 22 cm","823.912","","Orwell, George, 1903-1950--Criticism and interpretation","","English","Additional physical form: ebook version. 9781351013857",""
"018767962","Monograph","Language material ; Text","Online resource (PDF ebook ; ePub ebook ; Mobipocket ebook ; ebook)","GBB843392","","9781351013840 ; 9781351013857 ; 9781351013864 ; 9781351013871","Ostrom, Hans A.","","person","author","Haltom, William, author [person] ; Ostrom, Hans A., author [person]","Orwell's 'politics and the English language' in the age of pseudocracy","","Routledge studies in rhetoric and communication","","England","London","Routledge","2018","1st","1 online resource","823.912","ELD.DS.273541","Orwell, George, 1903-1950--Criticism and interpretation","","English","Additional physical form: Print version. 9781138499904",""
