"BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"008113299","Monograph","Language material ; Text","Volume","GB7526183","","9780850466201","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal farm : a fairy story","","","","England","Bath","Lythway Press","1975","Large print edition","5, 154 pages, 23 cm","823.91","Nov.30442","Fiction in English ; Fiction in English--1900---Texts","","English","Originally published: London : Secker and Warburg, 1945",""
"008117695","Monograph","Language material ; Text","Volume","GB8702487","","9780850977691","Mahoney, John","1940 February 23-","person","","Orwell, George, 1903-1950 [person] ; Mahoney, John, 1940 February 23- [person] ; Martin, Stewart, 1948- [person]","Animal farm, George Orwell","Animal farm","Letts study aids","","England","London","Letts","1987","","79 pages, illustrations, 30 cm","823.912","YC.1988.b.7031","Orwell, George, 1903-1950 ; Fiction in English--Orwell, George","","English","",""
"008123525","Monograph","Language material ; Text","Volume","","","9780919741621","Orwell X. 8, winnipeg","1984","meeting/conference","","Engholm, G. F. [person] ; Orwell X. 8, winnipeg, 1984 [meeting/conference] ; Richardson, J. M. [person]","Orwell X 8 : a symposium","","","","Canada","Winnipeg","Ronald P. Frye","1986","","xxxii, 126 pages, illustrations","","YH.1987.a.132","English literature--Orwell, George--1903-1950--Conference proceedings ; Orwell, George, 1903-1950","","English","",""
"008138952","Monograph","Language material ; Text","Volume","GB8430491","","9780947795009","Thompson, John","","person","","Thompson, John [person]","Orwell's London","","","","England","London","Fourth Estate","1984","","120 pages, illustrations, portraits, 24 cm","823.912","YC.1987.b.7215","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Fiction in English--Orwell, George","","English","",""
"008138957","Monograph","Language material ; Text","Volume","GB8431840","","9780947795054","Woodcock, George","1912-1995","person","","Woodcock, George, 1912-1995 [person]","The crystal spirit : a study of George Orwell","","","","England","London","Fourth Estate","1984","","xiv, 287 pages, 22 cm","","YC.1987.a.12169 ; YD.2008.a.2023","Orwell, George, 1903-1950--Criticism and interpretation","","English","Originally published: London : Cape, 1967",""
"008140969","Monograph","Language material ; Text","Volume","GBA004978","","9781862026445","Gould, Mike","","person","writer","Gould, Mike, writer [person]","Animal farm","","Modern classics","","England","Dunstable","Folens","1999","","48 pages, illustrations, 28 cm","823.912","YK.2000.b.516","Orwell, George, 1903-1950","","English","Publisher's number FA6440",""
"008163527","Monograph","Language material ; Text","Volume","","","9783860645536","Hirsch, Hartmut","","person","","Hirsch, Hartmut [person]","Von Orwell zu Ackroyd : die britische Utopie in der 2. Hälfte des 20. Jahrhunderts","","Poetica","25 [Poetica]","Germany","Hamburg","Kovac","1998","","238 pages, 21 cm","823.91409372","YA.2000.a.36424","Utopias in literature ; English fiction--20th century--History and criticism ; Totalitarianism in literature ; Political fiction, English--History and criticism ; Orwell, George, 1903-1950--Criticism and interpretation ; Nature in literature ; Ackroyd, Peter, 1949---Criticism and interpretation","","German","",""
"008175775","Monograph","Language material ; Text","Volume","","","9783885061243","Büthe, Lutz","","person","","Büthe, Lutz [person]","Auf den Spuren George Orwells : eine soziale Biographie","","","","Germany","Hamburg","Junius","1984","","364 pages, illustrations, portraits, 21 cm","828.91209","YA.1988.a.8899","Orwell, George, 1903-1950--Political and social views ; Journalists--Great Britain--Biography ; Social problems in literature ; Fiction in English--Orwell, George--1903-1950--Biographies ; Authors, English--20th century--Biography","Biography","German","Includes index",""
"008189935","Monograph","Language material ; Text","Volume","","","9789630748155","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Szíjgyártó, László [person]","1984 : regény","Ezerkilencszáznyolcvannégy ; Nineteen Eighty Four. Hungarian","","","Hungary","Budapest","Európa Könyvkiadó","1989","","373 pages","","YA.1993.a.6943","Fiction in English--1900---Translations","","Hungarian","",""
"008189940","Monograph","Language material ; Text","Volume","","","9789630749466","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Szíjgyártó, László [person]","Állatfarm : tündérmese","Animal farm. Hungarian","","","Hungary","Budapest","Európa Könyvkiadó","1989","","119 pages","","YA.1993.a.13520","Fiction in English--1900---Translations","","Hungarian","",""
"008189944","Monograph","Language material ; Text","Volume","","","9789630752404","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Takács, Ferenc [person]","Az irodalom fölszámolása : válogatott esszék","Essays. Selections. Hungarian","","","Hungary","Budapest","Európa Könyvkiadó","1990","","481 pages","","YA.1993.a.6937","Essays in English--1800---Translations","","Hungarian","",""
"008245215","Monograph","Language material ; Text","Volume","","","","","","","","Laski, Harold J. (Harold Joseph), 1893-1950 [person] ; Cole, G. D. H. (George Douglas Howard), 1889-1959 [person] ; Orwell, George, 1903-1950 [person] ; Sutherland, Mary Elizabeth, 1895-1972 [person] ; Fabian Society (Great Britain) [organisation]","Victory or vested interest?","","","","England","London","Routledge","1942","","vii, 97 pages, 19 cm","940.53183","8029.de.26 ; 940.53183 *744* ; W19/2506","World War, 1939-1945--Great Britain","","English","'These essays are based on a series of lectures delivered under the auspices of the Fabian Society.'--Note",""
"008264199","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Les animaux partout (Animal farm)","","","","France","Paris","Odile Pathé","1947","","","","W12/9650 ; W9/1961","","","French","",""
"008264200","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal farm : a fairy story","","","","","","Secker & Warburg","1949","","","823.9","823.9 *2237*","","","English","",""
"008264202","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Burmese days","","","","","","Secker & Warburg","1949","","","823.9","823.9 *198*","","","English","",""
"008264203","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Coming up for air","","","","","","Secker & Warburg","1948","2nd edition","","823.9","823.9 *196*","","","English","",""
"008264204","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Critical essays","","","","","","Secker & Warburg","1946","","","824.9","824.9 *2051* ; W11/5050 ; W14/1015","","","English","",""
"008264205","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and Out in Paris and London","","","","England","London","Secker & Warburg","","2nd edition","","","W64/4181","","","English","",""
"008264206","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and Out in Paris and London","","","","England","London","Secker & Warburg","1947","New edition","","","W63/0105","","","English","",""
"008264207","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and out in Paris and London","","","","England","London","Secker & Warburg","1949","","213 pages, 18 cm","","W13/5189","","","English","",""
"008264209","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Homage to Catalonia","","","","","","Secker & Warburg","1938","","","946.08","946.08 *3303*","","","English","",""
"008264210","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Inside the Whale and other Essays","","","","England","London","Victor Gollancz","1940","","","","W50/2757","","","English","",""
"008264211","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Inside the whale and other essays","","","","","","Victor Gollancz","1940","","","","W72/4071","","","English","",""
"008264212","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","James Burnham, and the managerial revolution","","","","England","London","Socialist Book Centre","1946","","","","W77/5886","","","English","",""
"008264213","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The lion and the unicorn","","Searchlight books","","","","Secker & Warburg","1941","","","335","335 *2914* ; W9/4053","","","English","",""
"008264214","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The Road to Wigan Pier","","","","","","Gollancz","1937","","","","W11/5057","","","English","",""
"008264215","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Talking to India : a selection of English language broadcasts to India, etc","","","","","","","1943","","","","W5/3994","","","English","",""
"008264216","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Tragedie Birmane : roman traduit de l'anglais par guillot De Saix","","Les Grands Romans Etrangers","1946 [Les Grands Romans Etrangers]","France","Paris","Les Editions Nagel","1946","","","","X12/9483","","","French","",""
"008305543","Monograph","Language material ; Text","Volume","GBA545270","","9780141187761","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Nineteen eighty-four","","Modern Classics","","England","London","Penguin","2000","","xx, 325 pages, 20 pages","823.912","H.2005/1965","Totalitarianism--Fiction","Dystopia ; Fiction","English","Originally published: London : Martin Secker & Warburg Ltd, 1987",""
"008320824","Monograph","Language material ; Text","Volume","GB5313943","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","England, your England, and other essays","","","","United Kingdom","","Secker & Warburg","1953","","224 pages, 19 cm","300","","","","English","",""
"008324884","Monograph","Language material ; Text","Volume","GB5402483","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Nineteen eighty-four : a novel","","","","United Kingdom","","Penguin ; Secker & Warburg","1954","","251 pages, 18 cm","823.91","","","","English","Originally published Secker & Warburg, 1949",""
"008327759","Monograph","Language material ; Text","Volume","GB5405898","","","Orwell, George","1903-1950","person","","Batchelor, Joy, 1914-1991 [person] ; Orwell, George, 1903-1950 [person] ; Halas, John [person]","Animal farm : a fairy story","","","","England","London","Secker & Warburg","1954","","108 pages, illustrations, 21 cm","823.91","12651.g.46 ; 12654.de.31 ; W5/9381","","","English","",""
"008331796","Monograph","Language material ; Text","Volume","GB6500390","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal farm : a fairy story","","Heritage of literature series, section B-no.45","","United Kingdom","","Longmans","1964","","122 pages, 19 cm","823.91","","","","English","This edition originally published (B60-13413) 1960",""
"008341071","Monograph","Language material ; Text","Volume","GB6511700","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Decline of the English murder, and other essays","","","","United Kingdom","","Penguin ; Secker & Warburg","1965","","188 pages, 19 cm","824.008","","","","English","",""
"008351046","Monograph","Language material ; Text","Volume","GB7320451","","9780268004750","Kubal, David L. (David Lawrence)","1936-1982","person","","Kubal, David L. (David Lawrence), 1936-1982 [person]","Outside the whale : George Orwell's art and politics","","","","England","London ; Notre Dame","University of Notre Dame Press","1972","","xvii, 169 pages, 21 cm","828.91208","","Prose in English--Orwell, George--Critical studies ; Orwell, George, 1903-1950","","English","Bibliographyp.159-163. _ Includes index",""
"008353682","Monograph","Language material ; Text","Volume","GB7123601","","9780297004790","Gross, Miriam","","person","","Gross, Miriam [person]","The world of George Orwell","","","","England","London","Weidenfeld & Nicolson","1971","","10, 182 pages, 64 plates, illustrations, facsimiles, portraits, 26 cm","823.912","","Fiction in English--Orwell, George--Critical studies ; Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Orwell, George, 1903-1950","Biography","English","",""
"008354566","Monograph","Language material ; Text","Volume","GB7506022","","9780300016864","Zwerdling, Alex","","person","","Zwerdling, Alex [person]","Orwell and the Left","","","","England ; United States of America","London ; New Haven","Yale University Press","1974","","xii, 215 pages, 22 cm","823.912","","Dystopias in literature ; Right and left (Political science) in literature ; Orwell, George, 1903-1950--Political and social views ; Fiction in English--Orwell, George--Political beliefs--Critical studies ; Politics and literature--Great Britain--History--20th century ; Satire, English--History and criticism","","English","Includes index",""
"008357727","Monograph","Language material ; Text","Volume","GB7406799","","9780333153963","Sandison, Alan","","person","","Sandison, Alan [person]","The last man in Europe : an essay on George Orwell","","","","England","London","Macmillan","1974","","x, 203 pages, 23 cm","823.912","74/19314","Dystopias in literature ; Orwell, George, 1903-1950--Criticism and interpretation ; Satire, English--History and criticism ; Fiction in English--Orwell, George--1903-1950--Critical studies","","English","Includes index",""
"008375372","Monograph","Language material ; Text","Volume","GB9911755","","","Orwell, George","1903-1950","person","","Foot, Michael, 1913-2010 [person] ; Orwell, George, 1903-1950 [person]","Down and out in Paris and London","","","","England","London","Folio Society","1998","2nd edition","xxvi, 16 pages of plates, 216 pages, illustrations, 23 cm","362.509421","YC.2004.a.6259","London (England)--Social conditions--20th century ; Paris (France)--Social conditions--20th century ; Homelessness--England--London--History--20th century ; Orwell, George, 1903-1950--Homes and haunts--France--Paris ; Homelessness--France--Paris--History--20th century ; Orwell, George, 1903-1950--Homes and haunts--England--London","","English","This edition originally published, London: Secker & Warburg, 1986. - Previous edition: London : Gollancz, 1933",""
"008424123","Monograph","Language material ; Text","Volume","GB9366695","","9780749317232","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Nineteen eighty-four","","","","England","London","Compact","1993","","325 pages, 19 cm","823.912","","English fiction","","English","Originally published: London: Secker & Warburg, 1949",""
"008503571","Monograph","Language material ; Text","Volume","","","9780930664190 ; 9780930664206","Stansky, Peter","1932-","person","","Stansky, Peter, 1932- [person]","From William Morris to Sergeant Pepper : studies in the radical domestic","","","","United States of America","Palo Alto, California","Society for the Promotion of Science & Scholarship","1999","","viii, 352 pages, 24 cm","941.081","m00/10739","Bloomsbury group ; English literature--20th century--History and criticism ; English literature--19th century--History and criticism ; Great Britain--Civilization--20th century ; Orwell, George, 1903-1950 ; Biography as a literary form ; Morris, William, 1834-1896 ; Authors, English--20th century--Biography ; Great Britain--Biography ; Great Britain--Civilization--19th century ; Authors, English--19th century--Biography","","English","",""
"008584432","Monograph","Language material ; Text","Volume","","","","Crick, Bernard","1929-2008","person","","Crick, Bernard, 1929-2008 [person] ; Harry Ransom Humanities Research Center [organisation]","Orwell and the business of biography","","British studies","33 [British studies]","United States of America","Austin, Texas","College of Liberal Arts, Harry Ransom Humanities Research Center, University of Texas at Austin","1996","","28 pages, 23 cm","","YA.1997.a.5461","Orwell, George, 1903-1950--Biography--History and criticism ; Authors, English--20th century--Biography--History and criticism","","English","",""
"008586593","Monograph","Language material ; Text","Volume","","","","West, W. J. (William John)","1942-","person","","West, W. J. (William John), 1942- [person]","The discovery of George Orwell's war commentary 'Through Eastern eyes' in the BBC archives","","","","England","Exeter","W.J. West","1984","","8 pages, 21 cm","","YA.1997.a.9516","Radio scripts ; Orwell, George, 1903-1950","","English","",""
"008587112","Monograph","Language material ; Text","Volume","","","","","","","","Leab, Daniel J. (Daniel Josef), 1936- [person]","George Orwell : an exhibition at the Grolier Club, Fall 1996 : selections from the collection of Daniel J. Leab","","","","United States of America","Washington","Cogswell","1996","","59 pages, illustrations, portraits, 23 cm","","YA.1997.a.7518","Orwell, George, 1903-1950--Bibliography--Exhibitions ; Authors, English--20th century--Bibliography--Exhibitions","","English","",""
"008590688","Monograph","Language material ; Text","Volume","","","9788171564354","Das, Satyabrata","1956-","person","","Das, Satyabrata, 1956- [person]","George Orwell : the man who saw tomorrow","","","","India","New Delhi","Atlantic","1996","","104 pages, 23 cm","","YA.1997.a.11406","Orwell, George, 1903-1950--Criticism and interpretation","","English","bibliography: p99-101. - Includes index",""
"008594759","Monograph","Language material ; Text","Volume","","","9782851842602","","","","","","George Orwell devant ses calomniateurs : quelques observations","","","","France","Paris","Ivrea","1997","","27 pages, illustrations, 1 facsimile, portraits, 24 cm","","YA.1997.b.6178","Orwell, George, 1903-1950--Criticism and interpretation","","French","",""
"008601538","Monograph","Language material ; Text","Volume","","","9783499505874","Howald, Stefan","","person","","Howald, Stefan [person]","George Orwell","","Rororo Monographien","1290 [Rororo Monographien]","Germany","Hamburg","Rowohlt","1997","","155 pages, illustrations, facsimiles, portraits, 19 cm","","YA.1998.a.1516","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; England--Social conditions--20th century","","German","bibliography: p150-154. _ Includes index",""
"008654261","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Ṣubḥī, Nabīl [person]","Mazraʿat al-ḥayawānāt : ashhur al-qiṣaṣ al-ramzīyah fī al-adabīyāt al-siyāsīyah","Animal farm. Arabic","","","Lebanon","Bayrūt","Muʾassasat al-Risālah","1983","","152 pages, 20 cm","","ARB.1987.a.1121","Communism--Fiction ; Political fiction, English--Translations into Arabic ; Political fiction, Arabic--Translations from English","","Arabic","",""
"008681065","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Rozanēs, Stephanos [person]","Hoi meres tēs Bourma : mythistorēma","Burmese days. Modern Greek","Klassikē logotechnia","5 [Klassikē logotechnia]","Greece","Athēnai","Ekdoseis 'Dōdōnē'","1978","","291 pages, 25 cm","","X.900/22061","","","Greek, Modern (1453-)","",""
"008690259","Monograph","Language material ; Text","Volume","","","","","","","","","Orwell y 1984 : de la utopía a la libertad","Revista de Occidente","Revista de Occidente","number 33-34 (febrero-marzo 1984) . Extraordinario [Revista de Occidente]","Spain","Madrid","Revista de Occidente","1984","","219 pages","","PP.4074.icd/2 [no.33-34]","Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","Spanish","",""
"008739243","Monograph","Language material ; Text","Volume","GB7525719","","9780297769811","Steinhoff, William","","person","","Steinhoff, William [person]","The road to '1984'","","","","England","London","Weidenfeld & Nicolson","1975","","9, 288 pages, 23 cm","823.912","W82/3420 ; X.809/40248","Dystopias in literature ; Fiction in English--Orwell, George--Nineteen eighty-four ; Orwell, George, 1903-1950--Criticism and interpretation ; Satire, English--History and criticism","","English","bibliography: p.253-268. _ Includes index",""
"008740047","Monograph","Language material ; Text","Volume","GB8240526","","9780297780120","Fyvel, T. R. (Tosco Raphael)","1907-1985","person","","Fyvel, T. R. (Tosco Raphael), 1907-1985 [person]","George Orwell : a personal memoir","","","","England","London","Weidenfeld & Nicolson","1982","","x, 221 pages, 8 pages of plates, portraits, 23 cm","823.912","X.950/16326","Fiction in English--Orwell, George--1903-1950--Biographies ; Authors, English--20th century--Biography ; Orwell, George, 1903-1950","","English","Includes index",""
"008741393","Monograph","Language material ; Text","Volume","GB9452909","","9780297814382","Caute, David","","person","","Caute, David [person]","Dr Orwell and Mr Blair : a novel","","","","England","London","Weidenfeld & Nicolson","1994","","vii, 209 pages","823.914","Nov.1995/2","Orwell, George, 1903-1950--Fiction ; English fiction ; Novelists--Fiction","Biographical fiction","English","",""
"008752592","Monograph","Language material ; Text","Volume","GB7621795","","9780521209762","Orwell, George","1903-1950","person","","Black, Elizabeth, 1937- [person] ; Orwell, George, 1903-1950 [person]","Shooting an elephant","","Cambridge English language learning","","England","Cambridge","Cambridge University Press","1975","","1, 13 pages, 21 cm","428.64","X.900/25158","Readers--1950- ; English language--For non-English speaking students ; English language--Text-books for foreign speakers","","English","",""
"008757912","Monograph","Language material ; Text","Volume","GB8822362","","9780521345194","Alok Rai","","person","","Alok Rai [person]","Orwell and the politics of despair : a critical study of the writings of George Orwell","","","","England","Cambridge","Cambridge University Press","1988","","1 volume","823.912","89/06952 ; YC.1989.a.9039","Despair in literature ; Political fiction, English--History and criticism ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century ; Fiction in English--Orwell, George--1903-1950","","English","Includes index",""
"008764618","Monograph","Language material ; Text","Volume","GB9317226","","9780719032332","Ingle, Stephen","","person","","Ingle, Stephen [person]","George Orwell : a political life","","Lives of the left","","England","Manchester","","1993","","x, 146 pages, portraits, facsimile, 23 cm","828.91209","93/07208 ; YC.1993.a.1498","English literature ; Great Britain--Politics and government--20th century ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century","","English","Includes index",""
"008799551","Monograph","Language material ; Text","Volume","GB8522854","","9780853156000","","","","","Norris, Christopher [person]","Inside the myth : Orwell : views from the Left","","","","England","London","Lawrence & Wishart","1984","","287 pages, 22 cm","823.912","X.950/43061","Orwell, George, 1903-1950--Criticism and interpretation ; Fiction in English--Orwell, George--1903-1950","","English","",""
"008822829","Monograph","Language material ; Text","Volume","GB9861353","","9781873040058 ; 9781884718465","Fenwick, Gillian","","person","","Fenwick, Gillian [person]","George Orwell : a bibliography","","Winchester bibliographies of 20th century writers","","England","New Castle, Delaware ; Winchester","Oak Knoll ; St. Paul's Bibliographies","1998","","xxi, 426 pages, 24 cm","016.82891209","2725.g.3265 ; 98/12853","Orwell, George, 1903-1950--Bibliography ; Dystopias--Bibliography ; Satire, English--Bibliography","","English","Includes index",""
"008858952","Monograph","Language material ; Text","Volume","","","9785340007452","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Shupa, Si︠a︡rheĭ [person]","Ferma : apovestsʹ ; 1984 : raman","Animal farm. Belarusian","Biblii︠a︡tėka zamez︠h︡naĭ prozy","","Belarus","Minsk","Mastatskai︠a︡ litaratura","1992","","409 pages, 18 cm","","YA.1998.a.4329","","","Belarusian","",""
"008956225","Monograph","Language material ; Text","Volume","","","9780316116510","Burgess, Anthony","1917-1993","person","","Burgess, Anthony, 1917-1993 [person]","1985","","","","United States of America","Boston","Little, Brown","1978","1st edition","272 pages, 22 cm","823.914","79/23537","Orwell, George, 1903-1950","","English","",""
"008990076","Monograph","Language material ; Text","Volume","GB5409834","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Keep the aspidistra flying","","","","United Kingdom","","Secker & Warburg","1954","","303 pages, 19 cm","823.91","","","","English","Originally published Gollancz, 1936",""
"009016987","Monograph","Language material ; Text","Volume","GB6609158","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Collected essays","","Mercury books -no.17","","United Kingdom","","Heinemann","1966","","460 pages, 20 cm","809","","","","English","This collection (B61-9501) originally publihsed, Secker & Warburg",""
"009031497","Monograph","Language material ; Text","Volume","GB7301513","","9780435121655","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal farm","","The new windmill series","165 [The new windmill series]","England","London","Heinemann","1972","","4, 89 pages, 20 cm","823.91","","Fiction in English, 1900---Texts","","English","Originally published, London: Secker and Warburg, 1945",""
"009032452","Monograph","Language material ; Text","Volume","GB7221868","","9780436350009","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal farm : a fairy story","","","","England","London","Secker & Warburg","1971","","104 pages, 21 cm","823.91","","Domestic animals--Fiction ; Totalitarianism--Fiction ; Fiction in English, 1900---Texts","Fable or legend ; Humour or satire","English","Originally published 1945",""
"009032453","Monograph","Language material ; Text","Volume","GB7203396","","9780436350023","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Coming up for air","","","","England","London","Secker & Warburg","1971","","237 pages, 21 cm","823.91","","Fiction in English, 1900---Texts","","English","Originally published, London: Gollancz, 1939",""
"009038808","Monograph","Language material ; Text","Volume","GB7510881","","9780500140192 ; 9780500150146","!!","1939-","person","","!!, 1939- [person]","A reader's guide to George Orwell","","","","England","London","Thames & Hudson","1975","","192 pages, 21 cm","823.912","","Satire, English--History and criticism--Handbooks, manuals, etc ; Fiction in English--Orwell, George--1903-1950--Critical studies ; Dystopias in literature--Handbooks, manuals, etc ; Orwell, George, 1903-1950--Criticism and interpretation--Handbooks, manuals, etc","","English","bibliography: p.181-185. _ Includes index",""
"009054667","Monograph","Language material ; Text","Volume","GBA065005","","9780141183725","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Keep the aspidistra flying","","Penguin classics","","England","London","Penguin","2000","","viii, 276 pages, 20 cm","","","Alternative lifestyles--England--London--Fiction","Fiction","English","",""
"009054681","Monograph","Language material ; Text","Volume","GBA159203","","9780141184388","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Down and out in Paris and London","","","","England","London","Penguin","2001","","240 pages, 20 cm","362.509421","YC.2012.a.11430","Homelessness--France--Paris--History--20th century ; Homelessness--England--London--History--20th century ; London (England)--Social conditions--20th century ; Paris (France)--Social conditions--20th century","","English","Originally published: Secker & Warburg, 1999",""
"009054730","Monograph","Language material ; Text","Volume","GBA0V3202","","9780141185804","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Inside the whale and other essays","Select essays","","","England","London","Penguin","2001","","208 pages, 20 cm","824.912","","","","English","Originally published: as Select essays. 1957",""
"009054764","Monograph","Language material ; Text","Volume","GBA3Y2888","","9780141187389","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Animal farm : a fairy story","","","","England","London","Penguin","2003","Orwell Centenary edition","120 pages, 20 cm","823.912","H.2005/4556","Domestic animals--Fiction","Dystopia ; Fiction","English","Originally published: London : Secker & Warburg, 1987",""
"009142585","Monograph","Language material ; Text","Online resource","","","","Norwell, George A.","","person","","Norwell, George A. [person]","X-ray scattering by cosmic dust grains","","","","","","University of Keele","1990","","","523.01 ; 523.0197223","293990","Cosmic rays ; Astronomy ; Astrophysics","","","",""
"009168723","Monograph","Language material ; Text","Volume","","","9780393047929","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","Orwell : wintry conscience of a generation","","","","United States of America","New York","W.W. Norton","2000","","","828.91209","m00/45848","Literature and society--England--History--20th century ; Authors, English--20th century--Biography ; Politics and literature--England--History--20th century ; Orwell, George, 1903-1950","Biography","English","",""
"009257346","Monograph","Language material ; Text","Volume","","","9788185809151","Talwar, Urmil","1959-","person","","Talwar, Urmil, 1959- [person]","Greene, Isherwood, Orwell and Waugh : a study of the early novel with reference to their biography","","","","India","Jaipur","Sublime","1997","","x, 214 pages, 23 cm","","YA.1998.a.7400","Waugh, Evelyn, 1903-1966--Criticism and interpretation ; Orwell, George, 1903-1950--Criticism and interpretation ; English fiction--20th century--History and criticism ; Greene, Graham, 1904-1991--Criticism and interpretation ; Isherwood, Christopher, 1904-1986--Criticism and interpretation","","English","",""
"009304672","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","1984","Nineteen eighty-four. Albanian ; Një mijë nëntëqind e tetëdhjetë e katërt","Biblioteka Atlas","","Serbia and Montenegro","Prishtinë","Rilindja","1980","","340 pages, 20 cm","","YA.1989.a.3097","","","Albanian","",""
"009306668","Monograph","Language material ; Text","Volume","","","","Bertinetti, Roberto","1955-","person","","Bertinetti, Roberto, 1955- [person] ; Deidda, Angelo, 1953- [person] ; Domenichelli, Mario [person]","L'infondazione di Babele : l'antiutopia","","Lavoro filosofico","17 [Lavoro filosofico]","Italy","Milano","F. Angeli","1983","","164 pages, 22 cm","823.9109372","YA.1989.a.16005","Huxley, Aldous, 1894-1963 ; Dystopias in literature ; Utopias in literature ; English fiction--20th century--History and criticism ; Future in literature ; Orwell, George, 1903-1950","","Italian","",""
"009314530","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Rāmakr̥ṣṇa, Janamañci [person]","Paśuvula divāṇam : ūhā kalpitameina pedda katha","Animal farm. Telugu","","","India","Madras","","1947","","i, 88 pages, 21 cm","","14175.k.67","English fiction--20th century--Translations into Telugu","Translations into Telugu","Telugu","The date 1947 is that of a letter from George Orwell, prefixed to the book",""
