"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"828.91209","015638437","Monograph","Language material ; Text","Volume","GBB0A3779","","9780141192635","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","A life in letters","","","","England","London","Penguin","2011","","xviii, 542 pages, 8 pages of plates, illustrations, portraits, 20 cm","","Orwell, George, 1903-1950--Correspondence ; Novelists, English--20th century--Correspondence","Correspondence","English","Originally published: London: Harvill Secker, 2010",""
"828.91209","015639523","Monograph","Language material ; Text","Volume","GBB0A4865","","9781441158543","Carr, Craig L.","1948-","person","","Carr, Craig L., 1948- [person]","Orwell, politics, and power","","","","England ; United States of America","London ; New York","Continuum","2010","","xii, 164 pages, 24 cm","YK.2011.a.2039 ; m10/.27215","Politics in literature ; Orwell, George, 1903-1950--Criticism and interpretation ; Political science--Philosophy ; Socialism in literature","","English","",""
"828.91209","015732296","Monograph","Language material ; Text","Volume","GBB1C5614","","9781604137033","Becnel, Kim","","person","","Becnel, Kim [person] ; Bloom, Harold [person]","Bloom's how to write about George Orwell","How to write about George Orwell","Bloom's how to write about literature","","United States of America","New York","Bloom","2011","","viii, 239 pages, 24 cm","YK.2011.a.35116","Orwell, George, 1903-1950--Criticism and interpretation ; Criticism--Authorship","","English","",""
"828.91209","015785366","Monograph","Language material ; Text","Volume","GBB143427","","9780292725584","Rodden, John","","person","","Rodden, John [person]","The unexamined Orwell","","Literary modernism series","","United States of America","Austin, Texas ; Chesham","Combined Academic ; University of Texas Press","2011","","1 volume, illustrations, 23 cm","","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"828.91209","015975242","Monograph","Language material ; Text","Volume","GBB1D5267","","9781604137033","Becnel, Kim","","person","","Becnel, Kim [person] ; Bloom, Harold [person]","Bloom's how to write about George Orwell","How to write about George Orwell","Bloom's how to write about literature","","England ; United States of America","London ; New York","Chelsea House ; Eurospan","2011","","1 volume","","Orwell, George, 1903-1950--Criticism and interpretation ; Criticism--Authorship","","English","",""
"828.91209","016014974","Monograph","Language material ; Text","Volume","GBB206631","","9780521132558 ; 9780521769235","Rodden, John","","person","","Rossi, John, 1936- [person] ; Rodden, John [person]","The Cambridge introduction to George Orwell","","","","England ; United States of America","Cambridge ; New York","Cambridge University Press","2012","","xiv, 130 pages, 24 cm","YC.2012.a.13320","LITERARY CRITICISM / European / English, Irish, Scottish, Welsh ; Orwell, George, 1903-1950","","English","",""
"828.91209","016886048","Monograph","Language material ; Text","Volume","GBB4A6965","","9781846558993","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, editor [person]","Seeing things as they are : selected journalism and other writings","Works. Selections","","","England","London","Harvill Secker","2014","","485 pages, black and white illustrations, 24 cm","YC.2015.a.9843","Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"828.91209","017080884","Monograph","Language material ; Text","Volume","GBB523890","","9781846559440","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","I belong to the left : 1945","Works. Selections","","","England","London","Secker","2015","","1 volume, 24 cm","","Orwell, Eileen--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"828.91209","017080885","Monograph","Language material ; Text","Volume","GBB523891","","9781846559457","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","A kind of compulsion : 1903-1936","Works. Selections","","","England","London","Secker","2015","","1 volume, 24 cm","","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"828.91209","017080886","Monograph","Language material ; Text","Volume","GBB523892","","9781846559464","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Facing unpleasant facts, 1937-1939","Works. Selections","","","England","London","Secker","2015","","1 volume, 24 cm","","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
